"","Theme","Lower","irf","Upper","Impulse","Response","group"
"1",0,-0.00473521869384208,-0.00164502283939282,0.00130921882380898,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"2",1,-0.00707200370754103,-0.00377323341121681,-0.00108378110154491,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"3",2,-0.00471494500945782,-0.00185566641607297,0.00122968963451337,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"4",3,-0.00777588728660369,-0.00426707093844193,-0.000353246097147775,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"5",4,-0.00489132818926119,-0.00261277329367374,-0.000801209510588675,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"6",5,-0.00395842574872269,-0.00213125518483695,-0.000252431195713717,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"7",6,-0.004461945108077,-0.00251450538495529,-0.000493310370921129,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"8",7,-0.00342459268185043,-0.0017563017338489,-0.00046513145769257,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"9",8,-0.00302989537428334,-0.00155170625641387,-0.000242159363865572,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"10",9,-0.00282733512746523,-0.00148911645643488,-0.000274988048520793,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"11",10,-0.00244278497859664,-0.00116088941949675,-0.000204835201425118,"sentiment_PurpleCom1","Vaccination Acceptance","sentiment_PurpleCom1pct_vu"
"12",0,-0.00331096601099719,0.000757312575102399,0.00452748169693999,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"13",1,-0.00697962913317615,-0.00184029838667284,0.0023232925770242,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"14",2,-0.00727274354120834,-0.00277299075914113,0.00233259300661101,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"15",3,0.000147413338277041,0.00353045398320629,0.00693673162757824,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"16",4,-0.00101259460435001,0.000996202625450982,0.00300445882953456,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"17",5,-0.00132030609056233,0.000365622421955341,0.00204670933652639,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"18",6,6.32123787877784e-05,0.0012597945867605,0.00295664009214967,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"19",7,-0.000402600618038325,0.000390991731954146,0.0011370032300447,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"20",8,-0.00029161706662072,0.000303536663600517,0.00102561829586789,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"21",9,-7.57891649682082e-05,0.000388611562167544,0.00108130201512387,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"22",10,-0.000144886826594442,0.000143092259075113,0.000456037748549689,"PurpleCom1","Side Effect Concern","PurpleCom1pct_cse"
"23",0,-0.00509755618148003,0.00017067496281838,0.00483326348600422,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"24",1,-0.00554292193792988,-6.35332012401441e-05,0.00512022685940429,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"25",2,-0.00759122858428481,-0.00325831163034752,-0.000198220086804209,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"26",3,0.00125949609998521,0.00500515026266735,0.00819904691893994,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"27",4,-0.00166485600332971,-8.1717479078119e-05,0.00145940458897595,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"28",5,-0.000517119025741089,0.000829082178442852,0.0022054170862306,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"29",6,-0.00012949804860767,0.000997164562313739,0.00206610339339873,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"30",7,-0.000607465284950732,-6.08577653257852e-06,0.000466056007499086,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"31",8,-0.000320079561014265,0.00029827647026102,0.00105942420681431,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"32",9,-4.41810935453993e-05,0.000279863549495466,0.000771227479827917,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"33",10,-0.000182807856159546,5.39572578752834e-05,0.000312677328847494,"sentiment_LightGreenCom2","Side Effect Concern","sentiment_LightGreenCom2pct_cse"
"34",0,-0.00478544509566774,-0.000374614529667852,0.00375497402268142,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"35",1,-0.0043826561431003,0.000327538254204157,0.00459437023743933,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"36",2,-0.000753916052299454,0.00330266065379447,0.00771101506378348,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"37",3,-0.00851084463450319,-0.00400756724895814,-9.61318999553133e-06,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"38",4,-0.00366258854568155,-0.000325930104753934,0.00218779099901082,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"39",5,-0.00241729738972454,-7.31066898931628e-05,0.00242168228041521,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"40",6,-0.00430598315817409,-0.00175616798119481,0.000258890738408596,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"41",7,-0.00201545278518567,-0.000479672819381061,0.000761540261357256,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"42",8,-0.00157517683245841,-0.000447386336245729,0.000690824201668077,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"43",9,-0.00219746192896768,-0.00071368083684217,0.000208277083722817,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"44",10,-0.000993297221667916,-0.000308931939267409,0.000269134006258913,"LighBlueCom3","Side Effect Concern","LighBlueCom3pct_cse"
"45",0,-0.00141298892184664,0.0030263753662074,0.0063178947458744,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"46",1,-0.00552391376918819,-0.000342772178399267,0.00378978868026728,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"47",2,-0.00132474568469692,0.00275921186014411,0.00732060564855097,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"48",3,-0.00694281008173635,-0.00315158645084771,0.000292664273411144,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"49",4,-0.00361807243865744,-0.000662466663698197,0.00177222263150022,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"50",5,-0.00163987955908803,1.56534766268376e-05,0.00222459309058758,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"51",6,-0.00328653883292864,-0.0015421817595663,0.000257410013854838,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"52",7,-0.00195553031307582,-0.000483043984823717,0.000791267992053713,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"53",8,-0.00127252689211241,-0.000329062458883793,0.00077500158009897,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"54",9,-0.0013674734448579,-0.000606389495411414,0.000206263569308596,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
"55",10,-0.000854321396882478,-0.00024779453292867,0.000345560945237246,"trust_LighBlueCom3","Side Effect Concern","trust_LighBlueCom3pct_cse"
